,Day,GHIP,GHIP2,GHIP3
0,1,12628800,12726000,12596400
1,2,11343600,12628800,12726000
2,3,13280400,11343600,12628800
3,4,13395600,13280400,11343600
4,5,11336400,13395600,13280400
5,6,13068000,11336400,13395600
6,7,13150800,13068000,11336400
7,8,13557600,13150800,13068000
8,9,12902400,13557600,13150800
9,10,13132800,12902400,13557600
10,11,13730400,13132800,12902400
11,12,13734000,13730400,13132800
12,13,12704400,13734000,13730400
13,14,13615200,12704400,13734000
14,15,14022000,13615200,12704400
15,16,10843200,14022000,13615200
16,17,10936800,10843200,14022000
17,18,4554000,10936800,10843200
18,19,7621200,4554000,10936800
19,20,14356800,7621200,4554000
20,21,12646800,14356800,7621200
21,22,3607200,12646800,14356800
22,23,4647600,3607200,12646800
23,24,12398400,4647600,3607200
24,25,11743200,12398400,4647600
25,26,7228800,11743200,12398400
26,27,14594400,7228800,11743200
27,28,15458400,14594400,7228800
28,29,15332400,15458400,14594400
29,30,15080400,15332400,15458400
30,31,14511600,15080400,15332400
31,32,13762800,14511600,15080400
32,33,13316400,13762800,14511600
33,34,15188400,13316400,13762800
34,35,15552000,15188400,13316400
35,36,13784400,15552000,15188400
36,37,12542400,13784400,15552000
37,38,11880000,12542400,13784400
38,39,15123600,11880000,12542400
39,40,5342400,15123600,11880000
40,41,16621200,5342400,15123600
41,42,12038400,16621200,5342400
42,43,16992000,12038400,16621200
43,44,17121600,16992000,12038400
44,45,16574400,17121600,16992000
45,46,4392000,16574400,17121600
46,47,11883600,4392000,16574400
47,48,17269200,11883600,4392000
48,49,17852400,17269200,11883600
49,50,18064800,17852400,17269200
50,51,14558400,18064800,17852400
51,52,18270000,14558400,18064800
52,53,18205200,18270000,14558400
53,54,13449600,18205200,18270000
54,55,17596800,13449600,18205200
55,56,18900000,17596800,13449600
56,57,18723600,18900000,17596800
57,58,14439600,18723600,18900000
58,59,17211600,14439600,18723600
59,60,10022400,17211600,14439600
60,61,9932400,10022400,17211600
61,62,18684000,9932400,10022400
62,63,20296800,18684000,9932400
63,64,18838800,20296800,18684000
64,65,18489600,18838800,20296800
65,66,20736000,18489600,18838800
66,67,20948400,20736000,18489600
67,68,21063600,20948400,20736000
68,69,21189600,21063600,20948400
69,70,12823200,21189600,21063600
70,71,16621200,12823200,21189600
71,72,20322000,16621200,12823200
72,73,21862800,20322000,16621200
73,74,21988800,21862800,20322000
74,75,22147200,21988800,21862800
75,76,22165200,22147200,21988800
76,77,21967200,22165200,22147200
77,78,22057200,21967200,22165200
78,79,22687200,22057200,21967200
79,80,20995200,22687200,22057200
80,81,21384000,20995200,22687200
81,82,23104800,21384000,20995200
82,83,10702800,23104800,21384000
83,84,19162800,10702800,23104800
84,85,21531600,19162800,10702800
85,86,18075600,21531600,19162800
86,87,13950000,18075600,21531600
87,88,18489600,13950000,18075600
88,89,22186800,18489600,13950000
89,90,21618000,22186800,18489600
90,91,23886000,21618000,22186800
91,92,24120000,23886000,21618000
92,93,23230800,24120000,23886000
93,94,24310800,23230800,24120000
94,95,23551200,24310800,23230800
95,96,24552000,23551200,24310800
96,97,23626800,24552000,23551200
97,98,24616800,23626800,24552000
98,99,24976800,24616800,23626800
99,100,25052400,24976800,24616800
100,101,25167600,25052400,24976800
101,102,25268400,25167600,25052400
102,103,23544000,25268400,25167600
103,104,22554000,23544000,25268400
104,105,20386800,22554000,23544000
105,106,24566400,20386800,22554000
106,107,20232000,24566400,20386800
107,108,23529600,20232000,24566400
108,109,21722400,23529600,20232000
109,110,22039200,21722400,23529600
110,111,24966000,22039200,21722400
111,112,25930800,24966000,22039200
112,113,26200800,25930800,24966000
113,114,24595200,26200800,25930800
114,115,26370000,24595200,26200800
115,116,26323200,26370000,24595200
116,117,24566400,26323200,26370000
117,118,26791200,24566400,26323200
118,119,26892000,26791200,24566400
119,120,26917200,26892000,26791200
120,121,26974800,26917200,26892000
121,122,25074000,26974800,26917200
122,123,22485600,25074000,26974800
123,124,21376800,22485600,25074000
124,125,24584400,21376800,22485600
125,126,22525200,24584400,21376800
