Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,33896,-,-,-,28.65,77.25,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Snow Depth,Wind Speed,
2014,1,1,0,0,0,0,0,0,1.2000000000000002,N/A
2014,1,1,1,0,0,0,0,0,1.5,N/A
2014,1,1,2,0,0,0,0,0,1.6,N/A
2014,1,1,3,0,0,0,0,0,1.7000000000000002,N/A
2014,1,1,4,0,0,0,0,0,1.6,N/A
2014,1,1,5,0,0,0,0,0,1.9000000000000001,N/A
2014,1,1,6,0,0,0,0,0,1.9000000000000001,N/A
2014,1,1,7,0,6,0,6,0,2,N/A
2014,1,1,8,0,110,204,158,0,1.8,N/A
2014,1,1,9,0,178,378,329,0,1.6,N/A
2014,1,1,10,0,207,527,482,0,1.5,N/A
2014,1,1,11,0,231,548,559,0,1.6,N/A
2014,1,1,12,0,280,484,581,0,1.8,N/A
2014,1,1,13,0,288,103,349,0,2.1,N/A
2014,1,1,14,0,263,136,332,0,2.2,N/A
2014,1,1,15,0,190,229,275,0,2.2,N/A
2014,1,1,16,0,77,14,80,0,2.1,N/A
2014,1,1,17,0,0,0,0,0,2,N/A
2014,1,1,18,0,0,0,0,0,2,N/A
2014,1,1,19,0,0,0,0,0,2.1,N/A
2014,1,1,20,0,0,0,0,0,2.4000000000000004,N/A
2014,1,1,21,0,0,0,0,0,2.6,N/A
2014,1,1,22,0,0,0,0,0,2.8000000000000003,N/A
2014,1,1,23,0,0,0,0,0,3,N/A
2014,1,2,0,0,0,0,0,0,3.1,N/A
2014,1,2,1,0,0,0,0,0,3.1,N/A
2014,1,2,2,0,0,0,0,0,3.2,N/A
2014,1,2,3,0,0,0,0,0,3.2,N/A
2014,1,2,4,0,0,0,0,0,3.3000000000000003,N/A
2014,1,2,5,0,0,0,0,0,3.4000000000000004,N/A
2014,1,2,6,0,0,0,0,0,3.5,N/A
2014,1,2,7,0,5,0,5,0,3.4000000000000004,N/A
2014,1,2,8,0,111,252,170,0,2.8000000000000003,N/A
2014,1,2,9,0,164,459,347,0,2.7,N/A
2014,1,2,10,0,194,569,492,0,3.1,N/A
2014,1,2,11,0,210,626,585,0,3,N/A
2014,1,2,12,0,214,641,613,0,2.8000000000000003,N/A
2014,1,2,13,0,213,600,567,0,2.5,N/A
2014,1,2,14,0,197,524,462,0,2.4000000000000004,N/A
2014,1,2,15,0,164,414,319,0,2.2,N/A
2014,1,2,16,0,99,145,129,0,2.1,N/A
2014,1,2,17,0,0,0,0,0,2.1,N/A
2014,1,2,18,0,0,0,0,0,2.2,N/A
2014,1,2,19,0,0,0,0,0,2.4000000000000004,N/A
2014,1,2,20,0,0,0,0,0,2.7,N/A
2014,1,2,21,0,0,0,0,0,2.9000000000000004,N/A
2014,1,2,22,0,0,0,0,0,3,N/A
2014,1,2,23,0,0,0,0,0,2.9000000000000004,N/A
2014,1,3,0,0,0,0,0,0,2.9000000000000004,N/A
2014,1,3,1,0,0,0,0,0,2.9000000000000004,N/A
2014,1,3,2,0,0,0,0,0,2.9000000000000004,N/A
2014,1,3,3,0,0,0,0,0,2.9000000000000004,N/A
2014,1,3,4,0,0,0,0,0,2.8000000000000003,N/A
2014,1,3,5,0,0,0,0,0,2.8000000000000003,N/A
2014,1,3,6,0,0,0,0,0,2.7,N/A
2014,1,3,7,0,7,0,7,0,2.8000000000000003,N/A
2014,1,3,8,0,110,251,169,0,2.4000000000000004,N/A
2014,1,3,9,0,164,459,347,0,1.9000000000000001,N/A
2014,1,3,10,0,195,569,493,0,2.3000000000000003,N/A
2014,1,3,11,0,210,626,586,0,2.3000000000000003,N/A
2014,1,3,12,0,215,642,615,0,2.2,N/A
2014,1,3,13,0,209,620,576,0,2.1,N/A
2014,1,3,14,0,192,556,474,0,2,N/A
2014,1,3,15,0,165,416,321,0,1.9000000000000001,N/A
2014,1,3,16,0,101,152,133,0,1.7000000000000002,N/A
2014,1,3,17,0,0,0,0,0,1.6,N/A
2014,1,3,18,0,0,0,0,0,1.5,N/A
2014,1,3,19,0,0,0,0,0,1.3,N/A
2014,1,3,20,0,0,0,0,0,1.3,N/A
2014,1,3,21,0,0,0,0,0,1.3,N/A
2014,1,3,22,0,0,0,0,0,1.3,N/A
2014,1,3,23,0,0,0,0,0,1.3,N/A
2014,1,4,0,0,0,0,0,0,1.3,N/A
2014,1,4,1,0,0,0,0,0,1.2000000000000002,N/A
2014,1,4,2,0,0,0,0,0,1.1,N/A
2014,1,4,3,0,0,0,0,0,0.9,N/A
2014,1,4,4,0,0,0,0,0,0.8,N/A
2014,1,4,5,0,0,0,0,0,0.9,N/A
2014,1,4,6,0,0,0,0,0,1,N/A
2014,1,4,7,0,7,0,7,0,1.3,N/A
2014,1,4,8,0,112,136,144,0,1.6,N/A
2014,1,4,9,0,179,377,329,0,1.4000000000000001,N/A
2014,1,4,10,0,227,447,461,0,1.5,N/A
2014,1,4,11,0,307,220,440,0,1.4000000000000001,N/A
2014,1,4,12,0,314,330,520,0,1.4000000000000001,N/A
2014,1,4,13,0,291,108,356,0,1.5,N/A
2014,1,4,14,0,236,424,452,0,1.4000000000000001,N/A
2014,1,4,15,0,168,374,310,0,1.2000000000000002,N/A
2014,1,4,16,0,101,133,129,0,1.1,N/A
2014,1,4,17,0,1,0,1,0,1.1,N/A
2014,1,4,18,0,0,0,0,0,1.2000000000000002,N/A
2014,1,4,19,0,0,0,0,0,1.3,N/A
2014,1,4,20,0,0,0,0,0,1.2000000000000002,N/A
2014,1,4,21,0,0,0,0,0,1.1,N/A
2014,1,4,22,0,0,0,0,0,0.9,N/A
2014,1,4,23,0,0,0,0,0,0.8,N/A
2014,1,5,0,0,0,0,0,0,0.6000000000000001,N/A
2014,1,5,1,0,0,0,0,0,0.4,N/A
2014,1,5,2,0,0,0,0,0,0.5,N/A
2014,1,5,3,0,0,0,0,0,0.6000000000000001,N/A
2014,1,5,4,0,0,0,0,0,0.7000000000000001,N/A
2014,1,5,5,0,0,0,0,0,0.8,N/A
2014,1,5,6,0,0,0,0,0,1,N/A
2014,1,5,7,0,4,0,4,0,1.1,N/A
2014,1,5,8,0,109,174,150,0,1.1,N/A
2014,1,5,9,0,182,352,322,0,1,N/A
2014,1,5,10,0,210,494,469,0,1.1,N/A
2014,1,5,11,0,232,552,564,0,1.3,N/A
2014,1,5,12,0,235,580,598,0,1.5,N/A
2014,1,5,13,0,213,609,576,0,1.8,N/A
2014,1,5,14,0,192,560,479,0,1.8,N/A
2014,1,5,15,0,167,420,327,0,1.8,N/A
2014,1,5,16,0,104,168,140,0,1.7000000000000002,N/A
2014,1,5,17,0,1,0,1,0,1.6,N/A
2014,1,5,18,0,0,0,0,0,1.3,N/A
2014,1,5,19,0,0,0,0,0,1.1,N/A
2014,1,5,20,0,0,0,0,0,1.3,N/A
2014,1,5,21,0,0,0,0,0,1.7000000000000002,N/A
2014,1,5,22,0,0,0,0,0,2.1,N/A
2014,1,5,23,0,0,0,0,0,2.6,N/A
2014,1,6,0,0,0,0,0,0,2.9000000000000004,N/A
2014,1,6,1,0,0,0,0,0,3.1,N/A
2014,1,6,2,0,0,0,0,0,3.1,N/A
2014,1,6,3,0,0,0,0,0,2.9000000000000004,N/A
2014,1,6,4,0,0,0,0,0,2.7,N/A
2014,1,6,5,0,0,0,0,0,2.3000000000000003,N/A
2014,1,6,6,0,0,0,0,0,1.9000000000000001,N/A
2014,1,6,7,0,4,0,4,0,1.6,N/A
2014,1,6,8,0,111,85,131,0,1.2000000000000002,N/A
2014,1,6,9,0,195,300,315,0,0.8,N/A
2014,1,6,10,0,221,502,485,0,0.9,N/A
2014,1,6,11,0,225,576,573,0,1.2000000000000002,N/A
2014,1,6,12,0,220,630,616,0,1.5,N/A
2014,1,6,13,0,210,624,583,0,1.7000000000000002,N/A
2014,1,6,14,0,197,554,482,0,1.7000000000000002,N/A
2014,1,6,15,0,170,410,327,0,1.7000000000000002,N/A
2014,1,6,16,0,104,148,136,0,1.7000000000000002,N/A
2014,1,6,17,0,1,0,1,0,1.7000000000000002,N/A
2014,1,6,18,0,0,0,0,0,1.7000000000000002,N/A
2014,1,6,19,0,0,0,0,0,1.6,N/A
2014,1,6,20,0,0,0,0,0,1.4000000000000001,N/A
2014,1,6,21,0,0,0,0,0,1.1,N/A
2014,1,6,22,0,0,0,0,0,0.9,N/A
2014,1,6,23,0,0,0,0,0,1.1,N/A
2014,1,7,0,0,0,0,0,0,1.5,N/A
2014,1,7,1,0,0,0,0,0,1.7000000000000002,N/A
2014,1,7,2,0,0,0,0,0,2.1,N/A
2014,1,7,3,0,0,0,0,0,2.5,N/A
2014,1,7,4,0,0,0,0,0,2.7,N/A
2014,1,7,5,0,0,0,0,0,2.9000000000000004,N/A
2014,1,7,6,0,0,0,0,0,3,N/A
2014,1,7,7,0,6,0,6,0,3.1,N/A
2014,1,7,8,0,112,250,170,0,2.5,N/A
2014,1,7,9,0,164,460,348,0,1.9000000000000001,N/A
2014,1,7,10,0,196,571,496,0,2.6,N/A
2014,1,7,11,0,212,629,592,0,2.7,N/A
2014,1,7,12,0,216,646,623,0,2.6,N/A
2014,1,7,13,0,213,616,582,0,2.6,N/A
2014,1,7,14,0,193,563,484,0,2.5,N/A
2014,1,7,15,0,188,374,332,0,2.4000000000000004,N/A
2014,1,7,16,0,104,130,132,0,2.1,N/A
2014,1,7,17,0,1,0,1,0,1.9000000000000001,N/A
2014,1,7,18,0,0,0,0,0,1.7000000000000002,N/A
2014,1,7,19,0,0,0,0,0,1.7000000000000002,N/A
2014,1,7,20,0,0,0,0,0,1.7000000000000002,N/A
